experiment,variant,seed,target_lf,actual_lf,size,avg_insert_ns,avg_lookup_ns,tombstones,avg_probe,max_probe,avg_chain,max_chain,failed_inserts
exp1,LP,42,0.25,0.25,262144,1412.900924702143,1353.5700039938092,0,0.0,0,0.0,0,0
exp1,LP,42,0.5,0.5,524288,1699.2938993709572,1455.0299965776503,0,0.0,0,0.0,0,0
exp1,LP,42,0.75,0.75,786432,2663.297653082708,1782.1499961428344,0,0.0,0,0.0,0,0
exp1,LP,42,0.85,0.8499994277954102,891289,5969.7502317695025,2265.659999102354,0,0.0,0,0.0,0,0
exp1,LP,42,0.9,0.8999996185302734,943718,13938.534017612128,2665.709995198995,0,0.0,0,0.0,0,0
exp1,LP,42,0.95,0.9499998092651367,996147,38353.05651500726,4241.460002958775,0,0.0,0,0.0,0,0
exp1,RH,42,0.25,0.25,262144,1503.1280518051915,1410.6499962508678,0,0.16711044311523438,5,0.0,0,0
exp1,RH,42,0.5,0.5,524288,1858.7509154066595,1537.889998871833,0,0.49834251403808594,10,0.0,0,0
exp1,RH,42,0.75,0.75,786432,3246.6331481018074,1964.2700091935694,0,1.5001462300618489,23,0.0,0,0
exp1,RH,42,0.85,0.8499994277954102,891289,7975.8709485021145,2437.809994444251,0,2.8206922782621575,28,0.0,0,0
exp1,RH,42,0.9,0.8999996185302734,943718,18424.84693560296,3113.33000427112,0,4.491764488968102,55,0.0,0,0
exp1,RH,42,0.95,0.9499998092651367,996147,54177.169124996304,5024.450004566461,0,9.605281148264263,98,0.0,0,0
exp1,CH,42,0.25,0.25,262144,2021.9058987080984,1325.3199984319508,0,0.0,0,1.130471906817486,5,0
exp1,CH,42,0.5,0.5,524288,1785.1043701000435,1337.1099950745702,0,0.0,0,1.2712446747377073,7,0
exp1,CH,42,0.75,0.75,786432,1936.7855075280715,1472.420000936836,0,0.0,0,1.422685335938348,8,0
exp1,CH,42,0.85,0.8499994277954102,891289,2186.88594913403,1365.9399934113026,0,0.0,0,1.485293529486265,8,0
exp1,CH,42,0.9,0.8999996185302734,943718,1521.343150017995,1335.6899959035218,0,0.0,0,1.5171339463700084,8,0
exp1,CH,42,0.95,0.9499998092651367,996147,1579.843218135797,1467.9100015200675,0,0.0,0,1.549482804212229,8,0
exp1,CU,42,0.25,0.25,262144,1741.6576385542726,1470.8900009281933,0,0.0,0,0.0,0,0
exp1,CU,42,0.5,0.5,524288,2404.0672301772756,1508.8099986314774,0,0.0,0,0.0,0,0
