experiment,variant,seed,target_lf,actual_lf,size,avg_insert_ns,var_insert_ns,std_insert_ns,cv_insert,avg_lookup_ns,var_lookup_ns,std_lookup_ns,cv_lookup,tombstones,avg_probe,max_probe,avg_chain,max_chain,failed_inserts
exp1,LP,42,0.25,0.25,262144,1360.054013077594,4846094.616407937,2201.3847043186106,1.6186009402209065,1487.1399704134092,3040186.4072131645,1743.6130325313482,1.1724606070850494,0,0.0,0,0.0,0,0
exp1,LP,42,0.5,0.5,524288,1608.0593172596025,8519291.128169619,2918.782473595732,1.8150962730465796,1779.5800667954609,3983965.3649163903,1995.9873158205164,1.1216057951327507,0,0.0,0,0.0,0,0
exp1,LP,42,0.75,0.75,786432,2561.7626181473343,9046586.063892396,3007.7543223960956,1.1740956406691976,2069.6198975201696,7466791.997463932,2732.5431373473198,1.3203115898825037,0,0.0,0,0.0,0,0
exp1,LP,42,0.85,0.8499994277954102,891289,5437.459588923198,63191701.55461319,7949.320823480028,1.4619549246257963,2383.4699764847755,7817506.343106796,2795.980390329445,1.173071369857595,0,0.0,0,0.0,0,0
exp1,LP,42,0.9,0.8999996185302734,943718,11659.348802298198,333884571.10887384,18272.508615646453,1.5671980421449199,2937.5200072536245,30529875.502771873,5525.384647494858,1.880969196414327,0,0.0,0,0.0,0,0
exp1,LP,42,0.95,0.9499998092651367,996147,33339.550677054125,3849916590.44694,62047.69609298108,1.8610837528678896,4324.089939473197,197038005.4951352,14037.022672031815,3.2462374438358568,0,0.0,0,0.0,0,0
exp1,RH,42,0.25,0.25,262144,1396.5923634229327,9487170.725584498,3080.1251152484856,2.2054575092329394,1481.9699979852885,210214.8500598036,458.49193020139796,0.30938003524005847,0,0.16711044311523438,5,0.0,0,0
exp1,RH,42,0.5,0.5,524288,1755.4992761681376,9090374.70069099,3015.0248258830293,1.7174742631988742,1666.8099211528897,1080139.4122520362,1039.2975571279076,0.6235249406297342,0,0.49834251403808594,10,0.0,0,0
exp1,RH,42,0.75,0.75,786432,3111.2483928064094,17579386.32033387,4192.777876340919,1.3476191377182032,2149.1898864042014,1119971.3663941945,1058.2869962322104,0.4924120492688643,0,1.5001462300618489,23,0.0,0,0
exp1,RH,42,0.85,0.8499994277954102,891289,7709.140086692948,125369906.67646824,11196.870396520102,1.4524149607616372,2851.900112000294,2110076.6471818103,1452.6102874418211,0.5093482346487146,0,2.8206922782621575,28,0.0,0,0
exp1,RH,42,0.9,0.8999996185302734,943718,17832.157695654943,868385454.3263019,29468.38058540547,1.6525414976890798,3172.529913717881,4308797.143585048,2075.7642312134217,0.6542930366827773,0,4.491764488968102,55,0.0,0,0
exp1,RH,42,0.95,0.9499998092651367,996147,53472.53426132436,10167829907.754436,100835.65791799266,1.8857467541224266,5057.479994138703,27822304.786997005,5274.685278478423,1.0429473343624587,0,9.605281148264263,98,0.0,0,0
exp1,CH,42,0.25,0.25,262144,1373.1002657113577,86828080.60986799,9318.158649103802,6.7862186628274905,1394.5599348517135,314948.0355754335,561.2023125178954,0.40242251228705295,0,0.0,0,1.130471906817486,5,0
exp1,CH,42,0.5,0.5,524288,2961.424243608235,195106971845.67798,441709.14847405866,149.15429608824803,1536.1600060714409,5155762.249271059,2270.6303638573713,1.4781209996895162,0,0.0,0,1.2712446747377073,7,0
exp1,CH,42,0.75,0.75,786432,3587.6171042836804,514473957289.2732,717268.399756516,199.92891629936884,1563.0000067176297,582415.2877887776,763.1613772910534,0.48826703391622284,0,0.0,0,1.422685335938348,8,0
exp1,CH,42,0.85,0.8499994277954102,891289,1670.9680787417867,73642078.64916185,8581.4962943045,5.135643465293624,1665.6399064231664,344441.98229743814,586.8917977765902,0.3523521473719342,0,0.0,0,1.485293529486265,8,0
exp1,CH,42,0.9,0.8999996185302734,943718,9328.345009274715,2981134198265.502,1726596.130618131,185.09136710761248,1744.8399885324761,1743597.995905595,1320.4537083539108,0.7567763904038548,0,0.0,0,1.5171339463700084,8,0
exp1,CH,42,0.95,0.9499998092651367,996147,1782.498252203714,140871529.68184295,11868.931277998157,6.658593501185497,1779.7500448068604,530087.573122999,728.0711319115729,0.40908617141829245,0,0.0,0,1.549482804212229,8,0
exp1,CU,42,0.25,0.25,262144,1526.4995497643597,5119113.192072069,2262.5457325923976,1.482179102471179,1665.109847090207,91623686.29525381,9572.026237701912,5.7485854488393695,0,0.0,0,0.0,0,0
exp1,CU,42,0.5,0.5,524288,2244.9504804011867,13544900.138359148,3680.339677035144,1.6393856831877398,1755.189977120608,708278.2939774342,841.5927126451572,0.4794881030632316,0,0.0,0,0.0,0,0
